"celsius","fahrenheit"
"368.8821","695.98778"
"58.8109","137.85962"
"239.9288","463.87184"
"55.81605","132.46889"
"427.2861","801.11498"
"141.56155","286.81079"
"300.0449","572.08082"
"325.07485","617.13473"
"237.07555","458.73599"
"374.63635","706.34543"
"432.34295","810.21731"
"223.5301","434.35418"
"112.2946","234.13028"
"280.4884","536.87912"
"401.70675","755.07215"
"167.00605","332.61089"
"157.21325","314.98385"
"214.03525","417.26345"
"228.81065","443.85917"
"478.4238","893.16284"
"66.09855","150.97739"
"474.8524","886.73432"
"119.61135","247.30043"
"141.56995","286.82591"
"229.51445","445.12601"
"391.6331","736.93958"
"400.2368","752.42624"
"177.7394","351.93092"
"360.4309","680.77562"
"345.9739","654.75302"
"373.75725","704.76305"
"354.1136","669.40448"
"54.1376","129.44768"
"294.96305","562.93349"
"331.92635","629.46743"
"107.1347","224.84246"
"326.8274","620.28932"
"417.4229","783.36122"
"395.50835","743.91503"
"211.2475","412.2455"
"337.93145","640.27661"
"464.9738","868.95284"
"305.1412","581.25416"
"369.93345","697.88021"
"169.0874","336.35732"
"281.70245","539.06441"
"404.10415","759.38747"
"447.83035","838.09463"
"112.83615","235.10507"
"293.5093","560.31674"
"178.326","352.9868"
"22.46715","72.44087"
"420.0645","788.1161"
"145.7686","294.38348"
"142.5161","288.52898"
"45.74455","114.34019"
"469.81425","877.66565"
"201.9828","395.56904"
"157.069","314.7242"
"295.6605","564.1889"
"413.22725","775.80905"
"465.86175","870.55115"
"147.1224","296.82032"
"142.2331","288.01958"
"402.72145","756.89861"
"188.4777","371.25986"
"156.96755","314.54159"
"305.30375","581.54675"
"98.041","208.4738"
"382.04215","719.67587"
"480.80405","897.44729"
"302.09755","575.77559"
"83.26725","181.88105"
"247.02","476.636"
"131.90595","269.43071"
"210.90795","411.63431"
"476.4168","889.55024"
"229.46765","445.04177"
"75.20475","167.36855"
"481.3229","898.38122"
"36.2207","97.19726"
"363.67525","686.61545"
"100.7073","213.27314"
"407.98785","766.37813"
"127.55355","261.59639"
"109.4392","228.99056"
"270.21645","518.38961"
"345.86215","654.55187"
"486.64665","907.96397"
"412.23435","774.02183"
"348.8369","659.90642"
"295.092","563.1656"
"130.4104","266.73872"
"445.5517","833.99306"
"306.698","584.0564"
"232.74775","450.94595"
"128.82425","263.88365"
"264.2612","507.67016"
"150.4442","302.79956"
"410.92895","771.67211"
"240.76795","465.38231"
"55.07635","131.13743"
"2.65505","36.77909"
"272.5269","522.54842"
"303.66765","578.60177"
"466.16285","871.09313"
"160.7685","321.3833"
"451.17035","844.10663"
"419.3892","786.90056"
"55.56745","132.02141"
"183.96625","363.13925"
"196.92275","386.46095"
"315.22425","599.40365"
"252.8903","487.20254"
"394.48895","742.08011"
"323.8644","614.95592"
"279.4022","534.92396"
"352.50265","666.50477"
"272.55135","522.59243"
"349.21465","660.58637"
"89.4817","193.06706"
"447.6816","837.82688"
"406.7894","764.22092"
"263.18005","505.72409"
"167.37365","333.27257"
"145.69895","294.25811"
"154.7408","310.53344"
"222.6757","432.81626"
"271.74565","521.14217"
"339.08875","642.35975"
"178.47435","353.25383"
"255.72465","492.30437"
"264.09405","507.36929"
"178.93035","354.07463"
"176.10355","348.98639"
"155.171","311.3078"
"468.24835","874.84703"
"21.6971","71.05478"
"12.94165","55.29497"
"205.8829","402.58922"
"410.50635","770.91143"
"60.7855","141.4139"
"293.24595","559.84271"
"309.53485","589.16273"
"486.87375","908.37275"
"414.37555","777.87599"
"247.9346","478.28228"
"181.75645","359.16161"
"218.9548","426.11864"
"292.2629","558.07322"
"356.8979","674.41622"
"422.1425","791.8565"
"175.96305","348.73349"
"209.1298","408.43364"
"209.67975","409.42355"
"106.4615","223.6307"
"147.50295","297.50531"
"104.98485","220.97273"
"429.6893","805.44074"
"36.48375","97.67075"
"69.198","156.5564"
"244.8127","472.66286"
"378.82875","713.89175"
"440.2498","824.44964"
"177.6587","351.78566"
"472.86755","883.16159"
"291.3593","556.44674"
"127.64875","261.76775"
"252.52935","486.55283"
"497.10215","926.78387"
"58.63305","137.53949"
"103.47955","218.26319"
"175.88225","348.58805"
"106.637","223.9466"
"153.5888","308.45984"
"318.14825","604.66685"
"261.67905","503.02229"
"420.8512","789.53216"
"76.97175","170.54915"
"126.41085","259.53953"
"142.58655","288.65579"
"214.42325","417.96185"
"12.4086","54.33548"
"162.56185","324.61133"
"383.5836","722.45048"
"155.9931","312.78758"
"400.51035","752.91863"
"488.74735","911.74523"
"107.4015","225.3227"
"226.9246","440.46428"
"474.58255","886.24859"
"300.45165","572.81297"
"246.51715","475.73087"
"188.6314","371.53652"
"212.2627","414.07286"
"340.77065","645.38717"
"449.5523","841.19414"
"472.1697","881.90546"
"160.83735","321.50723"
"284.6982","544.45676"
"86.7901","188.22218"
"122.96765","253.34177"
"498.6233","929.52194"
"265.76755","510.38159"
"328.221","622.7978"
"29.7675","85.5815"
"70.288","158.5184"
"63.3344","146.00192"
"493.4804","920.26472"
"145.7317","294.31706"
"490.96635","915.73943"
"447.7802","838.00436"
"424.61725","796.31105"
"278.68","533.624"
"333.0412","631.47416"
"292.00025","557.60045"
"405.89145","762.60461"
"380.1523","716.27414"
"464.9528","868.91504"
"8.58565","47.45417"
"475.97975","888.76355"
"438.93225","822.07805"
"388.7213","731.69834"
"269.08855","516.35939"
"276.7116","530.08088"
"20.132","68.2376"
"76.632","169.9376"
"158.3203","316.97654"
"400.9583","753.72494"
"17.0537","62.69666"
"129.46085","265.02953"
"433.98475","813.17255"
"490.50635","914.91143"
"490.4149","914.74682"
"412.91835","775.25303"
"111.2416","232.23488"
"282.2718","540.08924"
"248.15595","478.68071"
"150.62055","303.11699"
"440.08205","824.14769"
"306.9663","584.53934"
"428.78815","803.81867"
"131.3739","268.47302"
"408.23365","766.82057"
"398.4899","749.28182"
"319.44235","606.99623"
"171.6482","340.96676"
"326.3836","619.49048"
"486.5484","907.78712"
"10.2508","50.45144"
"111.1266","232.02788"
"213.02345","415.44221"
"106.1555","223.0799"
"405.48735","761.87723"
"217.06685","422.72033"
"273.6897","524.64146"
"110.5276","230.94968"
"366.91485","692.44673"
"63.3186","145.97348"
"244.2279","471.61022"
"68.6102","155.49836"
"87.40615","189.33107"
"330.16815","626.30267"
"50.45","122.81"
"433.7771","812.79878"
"300.59965","573.07937"
"291.52495","556.74491"
"297.7365","567.9257"
"314.2406","597.63308"
"430.66415","807.19547"
"268.734","515.7212"
"1.6169","34.91042"
"118.91875","246.05375"
"212.30095","414.14171"
"374.75385","706.55693"
"336.82385","638.28293"
"172.6859","342.83462"
"324.8074","616.65332"
"291.49865","556.69757"
"452.6811","846.82598"
"436.0628","816.91304"
"455.70505","852.26909"
"198.6766","389.61788"
"50.53335","122.96003"
"150.07435","302.13383"
"404.07295","759.33131"
"495.0817","923.14706"
"160.6064","321.09152"
"280.36105","536.64989"
"215.5692","420.02456"
"47.63525","117.74345"
"2.4788","36.46184"
"108.728","227.7104"
"103.06795","217.52231"
"500.5099","932.91782"
"245.23675","473.42615"
"386.9619","728.53142"
"389.40995","732.93791"
"133.5516","272.39288"
"191.5681","376.82258"
"143.2149","289.78682"
"33.3293","91.99274"
"131.5985","268.8773"
"128.9728","264.15104"
"294.6556","562.38008"
"367.53635","693.56543"
"371.8951","701.41118"
"122.04885","251.68793"
"405.51075","761.91935"
"444.67925","832.42265"
"462.85915","865.14647"
"445.23275","833.41895"
"327.35405","621.23729"
"13.65915","56.58647"
"443.85875","830.94575"
"403.3315","757.9967"
"157.32055","315.17699"
"344.81665","652.66997"
"264.47905","508.06229"
"48.1709","118.70762"
"399.40515","750.92927"
"25.9563","78.72134"
"343.0394","649.47092"
"42.5019","108.50342"
"429.98785","805.97813"
"320.3817","608.68706"
"199.3421","390.81578"
"110.81465","231.46637"
"444.2824","831.70832"
"270.94655","519.70379"
"409.60355","769.28639"
"59.9609","139.92962"
"404.3391","759.81038"
"473.5224","884.34032"
"365.89635","690.61343"
"253.325","487.985"
"495.173","923.3114"
"489.35005","912.83009"
"13.64355","56.55839"
"42.04285","107.67713"
"64.7018","148.46324"
"186.81545","368.26781"
"278.9491","534.10838"
"486.26015","907.26827"
"296.75905","566.16629"
"182.95085","361.31153"
"437.8202","820.07636"
"274.7954","526.63172"
"375.62645","708.12761"
"424.53265","796.15877"
"59.2168","138.59024"
"436.00395","816.80711"
"161.7915","323.2247"
"412.07105","773.72789"
"329.9233","625.86194"
"405.426","761.7668"
"166.9402","332.49236"
"78.51375","173.32475"
"114.2788","237.70184"
"38.91345","102.04421"
"127.20785","260.97413"
"385.0316","725.05688"
"132.39945","270.31901"
"159.6637","319.39466"
"152.33085","306.19553"
"492.0475","917.6855"
"240.259","464.4662"
"38.0059","100.41062"
"410.06975","770.12555"
"394.4857","742.07426"
"312.6016","594.68288"
"196.55535","385.79963"
"500.2107","932.37926"
"31.84875","89.32775"
"326.01085","618.81953"
"65.7238","150.30284"
"189.2449","372.64082"
"241.7577","467.16386"
"428.0503","802.49054"
"27.4741","81.45338"
"310.23405","590.42129"
"230.95335","447.71603"
"6.5271","43.74878"
"205.71015","402.27827"
"460.3904","860.70272"
"191.32595","376.38671"
"384.43065","723.97517"
"125.8027","258.44486"
"206.0707","402.92726"
"189.57985","373.24373"
"300.3345","572.6021"
"475.87335","888.57203"
"133.0519","271.49342"
"118.58035","245.44463"
"490.71025","915.27845"
"222.51135","432.52043"
"444.16445","831.49601"
"84.3824","183.88832"
"146.1333","295.03994"
"62.86935","145.16483"
"204.39885","399.91793"
"96.5726","205.83068"
"373.94695","705.10451"
"356.1635","673.0943"
"124.1948","255.55064"
"90.6522","195.17396"
"169.84365","337.71857"
"62.43285","144.37913"
"145.92475","294.66455"
"441.44775","826.60595"
"183.81025","362.85845"
"213.916","417.0488"
"375.34705","707.62469"
"120.46915","248.84447"
"83.44235","182.19623"
"435.2172","815.39096"
"362.59605","684.67289"
"364.08495","687.35291"
"463.88555","866.99399"
"99.6401","211.35218"
"477.53935","891.57083"
"486.9298","908.47364"
"82.6656","180.79808"
"264.4887","508.07966"
"219.41885","426.95393"
"33.74585","92.74253"
"470.7279","879.31022"
"4.2815","39.7067"
"87.36365","189.25457"
"46.2401","115.23218"
"298.4322","569.17796"
"319.443","606.9974"
"326.47815","619.66067"
"233.0069","451.41242"
"364.58055","688.24499"
"126.84785","260.32613"
"317.49245","603.48641"
"186.6222","367.91996"
"477.63","891.734"
"129.4566","265.02188"
"61.384","142.4912"
"71.42615","160.56707"
"126.23005","259.21409"
"157.797","316.0346"
"201.35985","394.44773"
"98.69505","209.65109"
"490.67505","915.21509"
"310.48995","590.88191"
"392.16475","737.89655"
"292.46875","558.44375"
"309.90175","589.82315"
"356.5896","673.86128"
"28.64965","83.56937"
"440.27855","824.50139"
"341.121","646.0178"
"248.40025","479.12045"
"142.2573","288.06314"
"1.43285","34.57913"
"91.2803","196.30454"
"290.6086","555.09548"
"327.60545","621.68981"
"437.47955","819.46319"
"453.15625","847.68125"
"404.1941","759.54938"
"188.2699","370.88582"
"33.95465","93.11837"
"498.81585","929.86853"
"70.4068","158.73224"
"259.4446","499.00028"
"320.11115","608.20007"
"203.2013","397.76234"
"377.2421","711.03578"
"465.16265","869.29277"
"457.486","855.4748"
"321.7304","611.11472"
"196.1253","385.02554"
"475.09675","887.17415"
"127.38275","261.28895"
"444.3718","831.86924"
"125.259","257.4662"
"313.86535","596.95763"
"2.0353","35.66354"
"28.8614","83.95052"
"437.08295","818.74931"
"363.5238","686.34284"
"188.26825","370.88285"
"423.36195","794.05151"
"129.61415","265.30547"
"49.0538","120.29684"
"286.0131","546.82358"
"386.94895","728.50811"
"348.3014","658.94252"
"357.9544","676.31792"
"161.80655","323.25179"
"483.8417","902.91506"
"64.04485","147.28073"
"120.87055","249.56699"
"163.42355","326.16239"
"35.6336","96.14048"
"-15.707194444444","3.72705"
"22.500361111111","72.50065"
"59.015333333333","138.2276"
"63.729972222222","146.71395"
"108.52694444444","227.3485"
"92.149083333333","197.86835"
"197.49561111111","387.4921"
"192.73316666667","378.9197"
"98.162805555556","208.69305"
"59.623583333333","139.32245"
"42.915388888889","109.2477"
"11.13775","52.04795"
"250.98119444444","483.76615"
"163.89391666667","327.00905"
"121.48925","250.68065"
"242.6395","468.7511"
"86.808611111111","188.2555"
"78.543083333333","173.37755"
"76.794055555556","170.2293"
"41.150833333333","106.0715"
"19.75775","67.56395"
"203.04555555556","397.482"
"163.57797222222","326.44035"
"185.19622222222","365.3532"
"39.056416666667","102.30155"
"27.692611111111","81.8467"
"136.33544444444","277.4038"
"96.51875","205.73375"
"242.94002777778","469.29205"
"146.21613888889","295.18905"
"141.32652777778","286.38775"
"60.891083333333","141.60395"
"205.73213888889","402.31785"
"258.924","498.0632"
"86.817916666667","188.27225"
"178.40244444444","353.1244"
"154.10225","309.38405"
"83.252305555556","181.85415"
"9.75325","49.55585"
"253.65461111111","488.5783"
"67.071083333333","152.72795"
"248.02244444444","478.4404"
"-8.0446388888889","17.51965"
"62.054111111111","143.6974"
"62.267333333333","144.0812"
"143.28983333333","289.9217"
"155.20408333333","311.36735"
"8.1440833333333","46.65935"
"220.05511111111","428.0992"
"213.10122222222","415.5822"
"186.53802777778","367.76845"
"221.36872222222","430.4637"
"140.73788888889","285.3282"
"143.16272222222","289.6929"
"237.84225","460.11605"
"213.20930555556","415.77675"
"115.18655555556","239.3358"
"250.43830555556","482.78895"
"242.07675","467.73815"
"-2.5813055555556","27.35365"
"240.87627777778","465.5773"
"36.288277777778","97.3189"
"51.756111111111","125.161"
"215.74688888889","420.3444"
"34.965777777778","94.9384"
"245.70111111111","474.262"
"188.12105555556","370.6179"
"180.71611111111","357.289"
"243.47702777778","470.25865"
"44.066527777778","111.31975"
"165.22727777778","329.4091"
"13.553972222222","56.39715"
"99.503194444444","211.10575"
"126.37358333333","259.47245"
"-12.614333333333","9.2942"
"176.68791666667","350.03825"
"260.29330555556","500.52795"
"118.04269444444","244.47685"
"217.76655555556","423.9798"
"130.00391666667","266.00705"
"122.18080555556","251.92545"
"-6.3826944444444","20.51115"
"64.212083333333","147.58175"
"168.966","336.1388"
"65.646083333333","150.16295"
"18.774777777778","65.7946"
"54.727777777778","130.51"
"18.946944444444","66.1045"
"18.025","64.445"
"221.77841666667","431.20115"
"101.79636111111","215.23345"
"-5.3094166666667","22.44305"
"103.61730555556","218.51115"
"129.66511111111","265.3972"
"134.21361111111","273.5845"
"236.20247222222","457.16445"
"124.49052777778","256.08295"
"76.861888888889","170.3514"
"97.140944444444","206.8537"
"-5.7581388888889","21.63535"
"72.145527777778","161.86195"
"212.7395","414.9311"
"186.09608333333","366.97295"
"87.130472222222","188.83485"
"183.14169444444","361.65505"
"22.178972222222","71.92215"
"174.80119444444","346.64215"
"133.45119444444","272.21215"
"255.84586111111","492.52255"
"193.13580555556","379.64445"
"127.82361111111","262.0825"
"189.606","373.2908"
"-8.2876944444444","17.08215"
"66.161388888889","151.0905"
"196.22786111111","385.21015"
"118.19083333333","244.7435"
"165.56127777778","330.0103"
"184.34158333333","363.81485"
"257.96213888889","496.33185"
"101.88911111111","215.4004"
"241.59577777778","466.8724"
"43.1255","109.6259"
"160.03416666667","320.0615"
"218.92780555556","426.07005"
"170.32241666667","338.58035"
"51.951361111111","125.51245"
"195.11619444444","383.20915"
"0.24211111111111","32.4358"
"72.016222222222","161.6292"
"85.762583333333","186.37265"
"257.76722222222","495.981"
"179.07155555556","354.3288"
"68.0445","154.4801"
"97.432583333333","207.37865"
"83.379305555556","182.08275"
"183.50786111111","362.31415"
"139.37669444444","282.87805"
"81.09125","177.96425"
"158.09505555556","316.5711"
"210.18213888889","410.32785"
"3.5163333333333","38.3294"
"209.29738888889","408.7353"
"34.738972222222","94.53015"
"-12.600055555556","9.3199"
"238.64577777778","461.5624"
"226.21661111111","439.1899"
"77.728222222222","171.9108"
"169.18875","336.53975"
"242.02297222222","467.64135"
"182.22288888889","360.0012"
"44.089027777778","111.36025"
"254.83541666667","490.70375"
"168.52238888889","335.3403"
"84.755222222222","184.5594"
"220.72383333333","429.3029"
"120.54197222222","248.97555"
"-9.5520833333333","14.80625"
"147.51127777778","297.5203"
"231.98158333333","449.56685"
"31.096111111111","87.973"
"147.07780555556","296.74005"
"223.18580555556","433.73445"
"151.38838888889","304.4991"
"72.820805555556","163.07745"
"127.52691666667","261.54845"
"223.76138888889","434.7705"
"228.94577777778","444.1024"
"252.20244444444","485.9644"
"139.99605555556","283.9929"
"25.341194444444","77.61415"
"25.569472222222","78.02505"
"45.511666666667","113.921"
"11.179277777778","52.1227"
"214.42522222222","417.9654"
"233.42997222222","452.17395"
"-5.3736666666667","22.3274"
"12.100666666667","53.7812"
"13.336916666667","56.00645"
"12.452666666667","54.4148"
"187.37283333333","369.2711"
"170.17702777778","338.31865"
"23.683444444444","74.6302"
"-11.489194444444","11.31945"
"78.125388888889","172.6257"
"236.26758333333","457.28165"
"40.933222222222","105.6798"
"-10.5675","12.9785"
"197.58269444444","387.64885"
"83.518222222222","182.3328"
"2.24475","36.04055"
"141.58841666667","286.85915"
"201.44783333333","394.6061"
"89.985694444444","193.97425"
"145.38916666667","293.7005"
"232.72616666667","450.9071"
"134.44025","273.99245"
"59.268472222222","138.68325"
"75.23575","167.42435"
"27.787361111111","82.01725"
"182.89863888889","361.21755"
"104.84566666667","220.7222"
"230.83127777778","447.4963"
"131.51616666667","268.7291"
"174.17508333333","345.51515"
"35.403555555556","95.7264"
"171.52480555556","340.74465"
"183.51047222222","362.31885"
"227.34636111111","441.22345"
"99.809388888889","211.6569"
"246.85952777778","476.34715"
"255.57205555556","492.0297"
"141.8415","287.3147"
"30.803666666667","87.4466"
"129.21208333333","264.58175"
"98.999805555556","210.19965"
"-9.7995","14.3609"
"44.089472222222","111.36105"
"94.362888888889","201.8532"
"10.087861111111","50.15815"
"203.33958333333","398.01125"
"177.47911111111","351.4624"
"69.46275","157.03295"
"196.94630555556","386.50335"
"47.952333333333","118.3142"
"-4.5657222222222","23.7817"
"56.734694444444","134.12245"
"221.76580555556","431.17845"
"80.437111111111","176.7868"
"250.037","482.0666"
"-2.9765833333333","26.64215"
"134.47302777778","274.05145"
"111.80030555556","233.24055"
"63.120638888889","145.61715"
"56.011722222222","132.8211"
"164.13511111111","327.4432"
"102.51377777778","216.5248"
"66.783361111111","152.21005"
"211.64461111111","412.9603"
"60.382111111111","140.6878"
"47.965277777778","118.3375"
"213.14047222222","415.65285"
"146.87833333333","296.381"
"5.9490555555556","42.7083"
"260.12597222222","500.22675"
"71.109055555556","159.9963"
"115.7095","240.2771"
"90.845361111111","195.52165"
"96.270277777778","205.2865"
"255.72022222222","492.2964"
"234.66113888889","454.39005"
"231.38783333333","448.4981"
"55.879444444444","132.583"
"16.95775","62.52395"
"174.07530555556","345.33555"
"237.34311111111","459.2176"
"95.872444444444","204.5704"
"222.61963888889","432.71535"
"83.467361111111","182.24125"
"121.14894444444","250.0681"
"1.9444444444444","35.5"
"236.88244444444","458.3884"
"5.3909722222222","41.70375"
"251.21827777778","484.1929"
"63.633027777778","146.53945"
"80.412055555556","176.7417"
"5.9806111111111","42.7651"
"165.79247222222","330.42645"
"182.75280555556","360.95505"
"12.057083333333","53.70275"
"115.4425","239.7965"
"161.34013888889","322.41225"
"32.493611111111","90.4885"
"136.90163888889","278.42295"
"164.988","328.9784"
"84.645027777778","184.36105"
"232.77197222222","450.98955"
"95.552027777778","203.99365"
"52.449166666667","126.4085"
"119.66013888889","247.38825"
"178.45705555556","353.2227"
"3.7259722222222","38.70675"
"179.38936111111","354.90085"
"205.19786111111","401.35615"
"193.49683333333","380.2943"
"146.18330555556","295.12995"
"99.259111111111","210.6664"
"243.77713888889","470.79885"
"12.710111111111","54.8782"
"18.15475","64.67855"
"234.63622222222","454.3452"
"233.39125","452.10425"
"64.446416666667","148.00355"
"-10.552666666667","13.0052"
"-5.6482222222222","21.8332"
"208.29741666667","406.93535"
"84.84875","184.72775"
"122.17530555556","251.91555"
"75.532388888889","167.9583"
"56.892194444444","134.40595"
"199.51936111111","391.13485"
"250.73402777778","483.32125"
"259.33530555556","498.80355"
"99.753722222222","211.5567"
"10.264666666667","50.4764"
"26.588611111111","79.8595"
"256.20183333333","493.1633"
"156.42536111111","313.56565"
"228.25138888889","442.8525"
"5.1683055555556","41.30295"
"63.085611111111","145.5541"
"251.26036111111","484.26865"
"6.3671666666667","43.4609"
"61.658416666667","142.98515"
"162.10538888889","323.7897"
"13.627388888889","56.5293"
"139.72988888889","283.5138"
"79.2465","174.6437"
"205.99780555556","402.79605"
"139.59375","283.26875"
"171.79758333333","341.23565"
"76.009083333333","168.81635"
"213.72777777778","416.71"
"194.61019444444","382.29835"
"91.045361111111","195.88165"
"137.5445","279.5801"
"110.25644444444","230.4616"
"88.722361111111","191.70025"
"231.41475","448.54655"
"18.492055555556","65.2857"
"189.64863888889","373.36755"
"25.081555555556","77.1468"
"132.21366666667","269.9846"
"19.014777777778","66.2266"
"60.943277777778","141.6979"
"167.41113888889","333.34005"
"218.15558333333","424.68005"
"192.24155555556","378.0348"
"140.57152777778","285.02875"
"94.487055555556","202.0767"
"93.741805555556","200.73525"
"258.23855555556","496.8294"
"16.468833333333","61.6439"
"234.60969444444","454.29745"
"108.46544444444","227.2378"
"203.76258333333","398.77265"
"63.370805555556","146.06745"
"22.182833333333","71.9291"
"-14.939388888889","5.1091"
"63.394555555556","146.1102"
"25.210083333333","77.37815"
"46.691388888889","116.0445"
"174.36252777778","345.85255"
"170.62902777778","339.13225"
"4.5787222222222","40.2417"
"257.29977777778","495.1396"
"86.002472222222","186.80445"
"152.96355555556","307.3344"
"154.94019444444","310.89235"
"193.82733333333","380.8892"
"135.32155555556","275.5788"
"93.517194444444","200.33095"
"42.241555555556","108.0348"
"217.23963888889","423.03135"
"246.017","474.8306"
"98.751805555556","209.75325"
"5.9397777777778","42.6916"
"113.93508333333","237.08315"
"225.58222222222","438.048"
"105.77125","222.38825"
"170.62447222222","339.12405"
"25.104833333333","77.1887"
"186.13419444444","367.04155"
"83.094527777778","181.57015"
"52.710444444444","126.8788"
"64.725611111111","148.5061"
"87.243805555556","189.03885"
"202.77813888889","397.00065"
"47.1545","116.8781"
"231.04475","447.88055"
"180.25916666667","356.4665"
"42.825277777778","109.0855"
"239.586","463.2548"
"147.60263888889","297.68475"
"253.49447222222","488.29005"
"63.987722222222","147.1779"
"153.97058333333","309.14705"
"59.743305555556","139.53795"
"113.42308333333","236.16155"
"218.26991666667","424.88585"
"150.36372222222","302.6547"
"38.655277777778","101.5795"
"185.26416666667","365.4755"
"185.45280555556","365.81505"
"186.44658333333","367.60385"
"197.48438888889","387.4719"
"66.5645","151.8161"
"81.195277777778","178.1515"
"172.08213888889","341.74785"
"137.098","278.7764"
"255.47238888889","491.8503"
"24.925416666667","76.86575"
"2.7888333333333","37.0199"
"197.13072222222","386.8353"
"121.20288888889","250.1652"
"212.31755555556","414.1716"
"182.83572222222","361.1043"
"108.99677777778","228.1942"
"51.289722222222","124.3215"
"110.77755555556","231.3996"
"214.73172222222","418.5171"
"100.87158333333","213.56885"
"251.97813888889","485.56065"
"63.388166666667","146.0987"
"85.165694444444","185.29825"
"110.71444444444","231.286"
"-10.346388888889","13.3765"
"68.214361111111","154.78585"
"155.82030555556","312.47655"
"229.82994444444","445.6939"
"198.07672222222","388.5381"
"-16.113888888889","2.995"
"76.335666666667","169.4042"
"69.877111111111","157.7788"
"117.084","242.7512"
"3.706","38.6708"
"-5.4255277777778","22.23405"
"245.50305555556","473.9055"
"53.358138888889","128.04465"
"18.329805555556","64.99365"
"238.52119444444","461.33815"
"159.09625","318.37325"
"113.35325","236.03585"
"208.90191666667","408.02345"
"95.248388888889","203.4471"
"238.84297222222","461.91735"
"131.41544444444","268.5478"
"16.394916666667","61.51085"
"61.37775","142.47995"
"179.97497222222","355.95495"
"118.97308333333","246.15155"
"37.383472222222","99.29025"
"114.28111111111","237.706"
"107.42666666667","225.368"
"21.452194444444","70.61395"
"87.990472222222","190.38285"
"133.63202777778","272.53765"
"9.1083888888889","48.3951"
"61.001805555556","141.80325"
"176.16252777778","349.09255"
"170.39725","338.71505"
"11.764083333333","53.17535"
"89.672111111111","193.4098"
"37.157472222222","98.88345"
"44.574833333333","112.2347"
"231.73505555556","449.1231"
"73.338055555556","164.0085"
"84.554416666667","184.19795"
"91.774861111111","197.19475"
"230.98855555556","447.7794"
"1.0811666666667","33.9461"
"227.67091666667","441.80765"
"14.309222222222","57.7566"
"201.26716666667","394.2809"
"219.71397222222","427.48515"
"-16.190944444444","2.8563"
"172.826","343.0868"
"177.79580555556","352.03245"
"134.74277777778","274.537"
"45.428166666667","113.7707"
"102.95002777778","217.31005"
"177.75075","351.95135"
"61.511611111111","142.7209"
"-0.57077777777778","30.9726"
"215.33680555556","419.60625"
"-2.6143333333333","27.2942"
"78.604944444444","173.4889"
"4.0044444444444","39.208"
"75.591333333333","168.0644"
"56.855222222222","134.3394"
"46.274944444444","115.2949"
"136.50630555556","277.71135"
"94.481444444444","202.0666"
"178.97175","354.14915"
"35.305944444444","95.5507"
"68.604166666667","155.4875"
"24.626027777778","76.32685"
"59.679666666667","139.4234"
"145.02177777778","293.0392"
"20.406666666667","68.732"
"225.64269444444","438.15685"
"225.69877777778","438.2578"
"85.232722222222","185.4189"
"99.986444444444","211.9756"
"109.04930555556","228.28875"
"173.81355555556","344.8644"
"2.2621111111111","36.0718"
"224.15144444444","435.4726"
"254.76452777778","490.57615"
"76.914277777778","170.4457"
"121.05144444444","249.8926"
